component_model_id,season,Model Week,location,target,weight
Historical Average,2011/2012,60,HHS Region 1,1 wk ahead,0.999921212977233
Subtype Historical Average,2011/2012,60,HHS Region 1,1 wk ahead,7.87870227669614e-05
Historical Average,2012/2013,60,HHS Region 1,1 wk ahead,0.98324163837631
Subtype Historical Average,2012/2013,60,HHS Region 1,1 wk ahead,0.0167583616236896
Historical Average,2013/2014,60,HHS Region 1,1 wk ahead,0.999978827485875
Subtype Historical Average,2013/2014,60,HHS Region 1,1 wk ahead,2.11725141250593e-05
Historical Average,2014/2015,60,HHS Region 1,1 wk ahead,0.952270959952073
Subtype Historical Average,2014/2015,60,HHS Region 1,1 wk ahead,0.0477290400479266
Historical Average,2015/2016,60,HHS Region 1,1 wk ahead,0.999033639017889
Subtype Historical Average,2015/2016,60,HHS Region 1,1 wk ahead,0.000966360982110829
Historical Average,2016/2017,60,HHS Region 1,1 wk ahead,0.999614369968384
Subtype Historical Average,2016/2017,60,HHS Region 1,1 wk ahead,0.000385630031615995
Historical Average,2017/2018,60,HHS Region 1,1 wk ahead,7.86849019491071e-06
Subtype Historical Average,2017/2018,60,HHS Region 1,1 wk ahead,0.999992131509805
Historical Average,2010/2011,61,HHS Region 1,1 wk ahead,0.922115855862211
Subtype Historical Average,2010/2011,61,HHS Region 1,1 wk ahead,0.0778841441377885
