component_model_id,season,Model Week,weight
Subtype Historical Average,2016/2017,71,0.908826456960277
Historical Average,2017/2018,71,5.49948566007491e-06
Subtype Historical Average,2017/2018,71,0.99999450051434
Historical Average,2010/2011,72,0.103631957065078
Subtype Historical Average,2010/2011,72,0.896368042934922
Historical Average,2011/2012,72,0.0901330389375744
Subtype Historical Average,2011/2012,72,0.909866961062426
Historical Average,2012/2013,72,0.136158154551087
Subtype Historical Average,2012/2013,72,0.863841845448913
Historical Average,2013/2014,72,0.350783702759469
Subtype Historical Average,2013/2014,72,0.649216297240531
Historical Average,2014/2015,72,0.281819354256165
Subtype Historical Average,2014/2015,72,0.718180645743835
Historical Average,2015/2016,72,0.105567841607504
Subtype Historical Average,2015/2016,72,0.894432158392496
Historical Average,2016/2017,72,0.098514252775116
Subtype Historical Average,2016/2017,72,0.901485747224884
Historical Average,2017/2018,72,5.80486494913913e-06
Subtype Historical Average,2017/2018,72,0.999994195135051
Historical Average,2018/2019,40,0.131743561975008
Subtype Historical Average,2018/2019,40,0.868256438024992
Historical Average,2018/2019,41,0.13901410442124
Subtype Historical Average,2018/2019,41,0.86098589557876
Historical Average,2018/2019,42,0.12953019402432
Subtype Historical Average,2018/2019,42,0.87046980597568
Historical Average,2018/2019,43,0.150838378165339
Subtype Historical Average,2018/2019,43,0.849161621834661
Historical Average,2018/2019,44,0.183585473480262
Subtype Historical Average,2018/2019,44,0.816414526519737
Historical Average,2018/2019,45,0.220932270026146
Subtype Historical Average,2018/2019,45,0.779067729973854
Historical Average,2018/2019,46,0.2204288566997
Subtype Historical Average,2018/2019,46,0.7795711433003
Historical Average,2018/2019,47,0.197452075569298
Subtype Historical Average,2018/2019,47,0.802547924430702
Historical Average,2018/2019,48,0.17094672037996
Subtype Historical Average,2018/2019,48,0.82905327962004
Historical Average,2018/2019,49,0.187202954957609
Subtype Historical Average,2018/2019,49,0.812797045042391
Historical Average,2018/2019,50,0.286542614102396
Subtype Historical Average,2018/2019,50,0.713457385897604
Historical Average,2018/2019,51,0.427484963587291
Subtype Historical Average,2018/2019,51,0.572515036412709
Historical Average,2018/2019,52,0.557030854304339
Subtype Historical Average,2018/2019,52,0.442969145695661
Historical Average,2018/2019,53,0.963320632026795
Subtype Historical Average,2018/2019,53,0.0366793679732055
Historical Average,2018/2019,54,0.707626283765542
Subtype Historical Average,2018/2019,54,0.292373716234458
Historical Average,2018/2019,55,0.655131174391932
Subtype Historical Average,2018/2019,55,0.344868825608068
Historical Average,2018/2019,56,0.599459590726984
Subtype Historical Average,2018/2019,56,0.400540409273016
Historical Average,2018/2019,57,0.539741233088627
Subtype Historical Average,2018/2019,57,0.460258766911373
Historical Average,2018/2019,58,0.419833627142639
Subtype Historical Average,2018/2019,58,0.580166372857361
Historical Average,2018/2019,59,0.246321891884049
Subtype Historical Average,2018/2019,59,0.753678108115951
Historical Average,2018/2019,60,0.133245118784805
