region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
States,Washington,2019,45,961,4,14,1.87,0.42,1.46,2019-11-03
States,West Virginia,2019,45,559,0,0,0,0,0,2019-11-03
States,Wisconsin,2019,45,1145,6,2,0.7,0.52,0.17,2019-11-03
States,Wyoming,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,Puerto Rico,2019,45,0,0,0,0,0,0,2019-11-03
States,Virgin Islands,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,New York City,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,Alabama,2019,46,739,5,26,4.19,0.68,3.52,2019-11-10
States,Alaska,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,Arizona,2019,46,402,3,18,5.22,0.75,4.48,2019-11-10
States,Arkansas,2019,46,175,0,3,1.71,0,1.71,2019-11-10
States,California,2019,46,2887,126,247,12.92,4.36,8.56,2019-11-10
States,Colorado,2019,46,670,14,24,5.67,2.09,3.58,2019-11-10
States,Connecticut,2019,46,678,5,1,0.88,0.74,0.15,2019-11-10
States,Delaware,2019,46,280,5,10,5.36,1.79,3.57,2019-11-10
States,District of Columbia,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,Florida,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,Georgia,2019,46,1817,38,110,8.15,2.09,6.05,2019-11-10
States,Hawaii,2019,46,425,15,8,5.41,3.53,1.88,2019-11-10
States,Idaho,2019,46,71,1,5,8.45,1.41,7.04,2019-11-10
States,Illinois,2019,46,363,4,3,1.93,1.1,0.83,2019-11-10
States,Indiana,2019,46,230,6,1,3.04,2.61,0.43,2019-11-10
States,Iowa,2019,46,277,4,0,1.44,1.44,0,2019-11-10
States,Kansas,2019,46,62,0,0,0,0,0,2019-11-10
States,Kentucky,2019,46,620,26,1,4.35,4.19,0.16,2019-11-10
States,Louisiana,2019,46,942,7,180,19.85,0.74,19.11,2019-11-10
States,Maine,2019,46,73,0,1,1.37,0,1.37,2019-11-10
States,Maryland,2019,46,219,0,0,0,0,0,2019-11-10
States,Massachusetts,2019,46,694,1,3,0.58,0.14,0.43,2019-11-10
States,Michigan,2019,46,1467,12,17,1.98,0.82,1.16,2019-11-10
States,Minnesota,2019,46,361,4,1,1.39,1.11,0.28,2019-11-10
States,Mississippi,2019,46,93,0,3,3.23,0,3.23,2019-11-10
States,Missouri,2019,46,616,4,8,1.95,0.65,1.3,2019-11-10
States,Montana,2019,46,105,3,2,4.76,2.86,1.9,2019-11-10
States,Nebraska,2019,46,130,12,4,12.31,9.23,3.08,2019-11-10
States,Nevada,2019,46,72,21,1,30.56,29.17,1.39,2019-11-10
States,New Hampshire,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,New Jersey,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,New Mexico,2019,46,341,6,11,4.99,1.76,3.23,2019-11-10
States,New York,2019,46,1858,22,19,2.21,1.18,1.02,2019-11-10
States,North Carolina,2019,46,264,4,2,2.27,1.52,0.76,2019-11-10
States,North Dakota,2019,46,241,2,40,17.43,0.83,16.6,2019-11-10
States,Ohio,2019,46,2099,14,11,1.19,0.67,0.52,2019-11-10
States,Oklahoma,2019,46,278,2,2,1.44,0.72,0.72,2019-11-10
States,Oregon,2019,46,1221,14,81,7.78,1.15,6.63,2019-11-10
States,Pennsylvania,2019,46,427,2,2,0.94,0.47,0.47,2019-11-10
States,Rhode Island,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,South Carolina,2019,46,364,5,3,2.2,1.37,0.82,2019-11-10
States,South Dakota,2019,46,80,0,0,0,0,0,2019-11-10
States,Tennessee,2019,46,74,3,0,4.05,4.05,0,2019-11-10
States,Texas,2019,46,3956,99,579,17.14,2.5,14.64,2019-11-10
States,Utah,2019,46,535,3,12,2.8,0.56,2.24,2019-11-10
States,Vermont,2019,46,107,1,0,0.93,0.93,0,2019-11-10
States,Virginia,2019,46,406,0,1,0.25,0,0.25,2019-11-10
States,Washington,2019,46,1024,10,38,4.69,0.98,3.71,2019-11-10
States,West Virginia,2019,46,569,0,0,0,0,0,2019-11-10
States,Wisconsin,2019,46,1161,6,16,1.89,0.52,1.38,2019-11-10
States,Wyoming,2019,46,10,0,1,10,0,10,2019-11-10
States,Puerto Rico,2019,46,0,0,0,0,0,0,2019-11-10
States,Virgin Islands,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,New York City,2019,46,NA,NA,NA,NA,NA,NA,2019-11-10
States,Alabama,2019,47,868,15,70,9.79,1.73,8.06,2019-11-17
States,Alaska,2019,47,11,2,1,27.27,18.18,9.09,2019-11-17
