component_model_id,season,Model Week,location,weight
Historical Average,2017/2018,65,Oregon,3.16485089010357e-08
Subtype Historical Average,2017/2018,65,Oregon,2.04433026513646e-08
Dynamic Harmonic Model,2014/2015,66,Oregon,0.999999916856275
Historical Average,2014/2015,66,Oregon,3.34361411487686e-08
Subtype Historical Average,2014/2015,66,Oregon,4.97075837402972e-08
Dynamic Harmonic Model,2015/2016,66,Oregon,0.999999953278646
Historical Average,2015/2016,66,Oregon,2.85859901365069e-08
Subtype Historical Average,2015/2016,66,Oregon,1.81353641062507e-08
Dynamic Harmonic Model,2016/2017,66,Oregon,0.999999904944762
Historical Average,2016/2017,66,Oregon,5.95121263165252e-08
Subtype Historical Average,2016/2017,66,Oregon,3.55431119009001e-08
Dynamic Harmonic Model,2017/2018,66,Oregon,0.999999891038973
Historical Average,2017/2018,66,Oregon,6.37428912822746e-08
Subtype Historical Average,2017/2018,66,Oregon,4.5218135947683e-08
Dynamic Harmonic Model,2014/2015,67,Oregon,0.999999904219029
Historical Average,2014/2015,67,Oregon,4.2840569108477e-08
Subtype Historical Average,2014/2015,67,Oregon,5.29404023366e-08
Dynamic Harmonic Model,2015/2016,67,Oregon,0.999999924390978
Historical Average,2015/2016,67,Oregon,3.34392520895771e-08
Subtype Historical Average,2015/2016,67,Oregon,4.21697697105404e-08
Dynamic Harmonic Model,2016/2017,67,Oregon,0.99999993426963
Historical Average,2016/2017,67,Oregon,3.39508018123408e-08
Subtype Historical Average,2016/2017,67,Oregon,3.17795684728494e-08
Dynamic Harmonic Model,2017/2018,67,Oregon,0.999999925128224
Historical Average,2017/2018,67,Oregon,3.63613615008063e-08
Subtype Historical Average,2017/2018,67,Oregon,3.85104149577644e-08
Dynamic Harmonic Model,2014/2015,68,Oregon,0.999999930321881
Historical Average,2014/2015,68,Oregon,3.35973086129379e-08
Subtype Historical Average,2014/2015,68,Oregon,3.60808104503743e-08
Dynamic Harmonic Model,2015/2016,68,Oregon,0.999999947791573
Historical Average,2015/2016,68,Oregon,2.35863614967566e-08
Subtype Historical Average,2015/2016,68,Oregon,2.86220651432719e-08
Dynamic Harmonic Model,2016/2017,68,Oregon,0.99999994694996
Historical Average,2016/2017,68,Oregon,2.84044640070434e-08
Subtype Historical Average,2016/2017,68,Oregon,2.46455758495928e-08
Dynamic Harmonic Model,2017/2018,68,Oregon,0.999999932053581
Historical Average,2017/2018,68,Oregon,3.41215479707219e-08
Subtype Historical Average,2017/2018,68,Oregon,3.38248707194975e-08
Dynamic Harmonic Model,2014/2015,69,Oregon,0.999999908002953
Historical Average,2014/2015,69,Oregon,4.68818094300643e-08
Subtype Historical Average,2014/2015,69,Oregon,4.51152372887802e-08
Dynamic Harmonic Model,2015/2016,69,Oregon,0.99999991583877
Historical Average,2015/2016,69,Oregon,3.03082019693738e-08
Subtype Historical Average,2015/2016,69,Oregon,5.38530276034637e-08
Dynamic Harmonic Model,2016/2017,69,Oregon,0.999999939767662
Historical Average,2016/2017,69,Oregon,2.77558864453408e-08
Subtype Historical Average,2016/2017,69,Oregon,3.24764519187387e-08
Dynamic Harmonic Model,2017/2018,69,Oregon,0.99999991054945
Historical Average,2017/2018,69,Oregon,3.9058213819927e-08
Subtype Historical Average,2017/2018,69,Oregon,5.03923365602387e-08
Dynamic Harmonic Model,2014/2015,70,Oregon,0.999999950307564
Historical Average,2014/2015,70,Oregon,2.68316559516221e-08
Subtype Historical Average,2014/2015,70,Oregon,2.28607798719477e-08
Dynamic Harmonic Model,2015/2016,70,Oregon,0.999999951574742
Historical Average,2015/2016,70,Oregon,1.89240843593913e-08
Subtype Historical Average,2015/2016,70,Oregon,2.95011735882586e-08
Dynamic Harmonic Model,2016/2017,70,Oregon,0.99999994674892
Historical Average,2016/2017,70,Oregon,2.60569696030891e-08
Subtype Historical Average,2016/2017,70,Oregon,2.71941099514935e-08
Dynamic Harmonic Model,2017/2018,70,Oregon,0.999999947485103
Historical Average,2017/2018,70,Oregon,2.41543399961568e-08
Subtype Historical Average,2017/2018,70,Oregon,2.83605573934712e-08
Dynamic Harmonic Model,2014/2015,71,Oregon,0.999999946451829
Historical Average,2014/2015,71,Oregon,3.32153608114161e-08
Subtype Historical Average,2014/2015,71,Oregon,2.03328099243208e-08
Dynamic Harmonic Model,2015/2016,71,Oregon,0.999999959638129
Historical Average,2015/2016,71,Oregon,2.28827361592787e-08
Subtype Historical Average,2015/2016,71,Oregon,1.74791351079738e-08
Dynamic Harmonic Model,2016/2017,71,Oregon,0.999999957648065
Historical Average,2016/2017,71,Oregon,2.6864571962774e-08
Subtype Historical Average,2016/2017,71,Oregon,1.54873632919453e-08
Dynamic Harmonic Model,2017/2018,71,Oregon,0.999999936158946
Historical Average,2017/2018,71,Oregon,3.53238078216784e-08
Subtype Historical Average,2017/2018,71,Oregon,2.8517246255098e-08
Dynamic Harmonic Model,2014/2015,72,Oregon,0.999999956277047
Historical Average,2014/2015,72,Oregon,2.65206223155387e-08
Subtype Historical Average,2014/2015,72,Oregon,1.72023303144809e-08
Dynamic Harmonic Model,2015/2016,72,Oregon,0.999999955825409
Historical Average,2015/2016,72,Oregon,2.49575744807241e-08
Subtype Historical Average,2015/2016,72,Oregon,1.9217016600277e-08
Dynamic Harmonic Model,2016/2017,72,Oregon,0.99999996097989
Historical Average,2016/2017,72,Oregon,2.40662617314539e-08
Subtype Historical Average,2016/2017,72,Oregon,1.49538486636398e-08
Dynamic Harmonic Model,2017/2018,72,Oregon,0.999999954859806
Historical Average,2017/2018,72,Oregon,2.47274621040356e-08
Subtype Historical Average,2017/2018,72,Oregon,2.04127320987766e-08
